2026-05-08 08:34:32 - Method: GET, Path: /api/auth/session
2026-05-08 08:34:55 - Method: GET, Path: /api/documentation.json
2026-05-08 08:34:55 - Method: GET, Path: /api/docs.json
2026-05-08 08:34:55 - Method: GET, Path: /api/docs/api.json
2026-05-08 08:34:56 - Method: GET, Path: /api/v1/debug
2026-05-08 08:34:56 - Method: GET, Path: /api/v1/status
2026-05-08 08:34:57 - Method: GET, Path: /api/v2/debug
2026-05-08 08:34:57 - Method: GET, Path: /api/v2/status
2026-05-08 08:34:57 - Method: GET, Path: /api/debug
2026-05-08 08:34:57 - Method: GET, Path: /api/status
2026-05-08 08:34:57 - Method: GET, Path: /api/internal/debug
2026-05-08 08:34:58 - Method: GET, Path: /api/admin/debug
2026-05-08 08:34:58 - Method: GET, Path: /api/v1/health
2026-05-08 08:34:58 - Method: GET, Path: /api/v2/health
2026-05-08 08:34:59 - Method: GET, Path: /api/templates
2026-05-08 08:34:59 - Method: GET, Path: /api/templates/default
2026-05-08 08:34:59 - Method: GET, Path: /api/templates/env
2026-05-08 08:35:00 - Method: GET, Path: /api/env
2026-05-08 08:35:00 - Method: GET, Path: /api/config/env
2026-05-08 08:35:00 - Method: GET, Path: /api/v1/templates
2026-05-08 08:35:00 - Method: GET, Path: /api/v1/env
2026-05-08 08:35:01 - Method: GET, Path: /api/inngest
2026-05-08 08:35:01 - Method: GET, Path: /api/edge/inngest
2026-05-08 08:35:02 - Method: GET, Path: /api/fn
2026-05-08 08:35:02 - Method: GET, Path: /api/handler
2026-05-08 08:35:02 - Method: GET, Path: /api/functions
2026-05-08 08:35:02 - Method: GET, Path: /api/events
2026-05-08 08:35:02 - Method: GET, Path: /api/inngest/handler
2026-05-08 18:56:18 - Method: GET, Path: /api/v1/.env
2026-05-08 18:56:18 - Method: GET, Path: /api/v2/.env
2026-05-08 18:56:21 - Method: GET, Path: /api/v3/.env
2026-05-08 18:56:21 - Method: GET, Path: /api/dev/.env
2026-05-08 18:56:21 - Method: GET, Path: /api/staging/.env
2026-05-08 21:02:28 - Method: GET, Path: /api/v1/.env
2026-05-08 21:02:28 - Method: GET, Path: /api/v2/.env
2026-05-08 21:02:29 - Method: GET, Path: /api/v3/.env
2026-05-08 21:02:29 - Method: GET, Path: /api/dev/.env
2026-05-08 21:02:29 - Method: GET, Path: /api/staging/.env
2026-05-08 23:20:51 - Method: GET, Path: /api/v1/.env
