[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/*
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/credentials
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/executions
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/phpinfo.php
[2026-07-17 22:16:28] [INFO] Router Dispatch - Method: GET, Path: /api/v1/workflows
[2026-07-17 22:16:28] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-07-17 22:16:28] [INFO] Router Dispatch - Method: GET, Path: /api/v2/phpinfo.php
[2026-07-17 22:16:28] [INFO] Router Dispatch - Method: GET, Path: /api/webhook/*
[2026-07-17 23:25:00] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-17 23:25:10] [INFO] Router Dispatch - Method: GET, Path: /api/user
[2026-07-17 23:25:17] [INFO] Router Dispatch - Method: GET, Path: /api/v1/workflows
[2026-07-17 23:25:17] [INFO] Router Dispatch - Method: GET, Path: /api/v1/executions
